Record_ID,Company,Date,Month,Month_Name,Quarter,Year,Department,Region,Business_Unit,Project_Type,Client_Segment,Employees_Assigned,Hourly_Rate_EUR,Revenue,Visible_Cost,Gross_Margin,Delay_Hours,Rework_Hours,Meeting_Hours,Overtime_Hours,Idle_Hours,Incidents,SLA_Breaches,Manual_Tasks,Automation_Level,Customer_Satisfaction,Employee_Satisfaction,Productivity_Score,Delay_Cost,Rework_Cost,Meeting_Cost,Overtime_Cost,Idle_Cost,Incident_Cost,SLA_Breach_Cost,Manual_Process_Cost,Hidden_Cost,Profit_After_Hidden_Cost,Hidden_Cost_Rate,Risk_Level
OT-04752,OrionTech,2025-03-14,3,Mar,Q1,2025,Controlling,Europe,Telecom Platforms,Internal Operations,Strategic Accounts,18,40.48,17221.97,7692.92,9529.05,0.3,3.5,11.7,1.6,4.0,0,0,17,57.9,80.9,75.6,75.9,16.39,170.02,1534.52,97.15,137.63,0.0,0.0,159.34,2115.05,7414.0,0.1228,Medium
OT-01698,OrionTech,2025-03-14,3,Mar,Q1,2025,IT,North America,Cybersecurity,Internal Operations,Enterprise,54,67.64,58646.6,53410.34,5236.26,13.3,2.0,16.2,9.9,7.6,6,2,38,35.8,78.4,57.0,76.3,1214.48,162.34,10650.86,1004.45,436.95,2818.01,1441.66,907.58,18636.33,-13400.07,0.3178,High
OT-03830,OrionTech,2025-03-14,3,Mar,Q1,2025,Operations,Europe,Banking Solutions,Transformation,Public Sector,42,45.47,50015.91,28655.51,21360.4,8.2,1.5,4.6,0.7,2.9,1,3,2,40.0,68.4,63.8,82.3,503.35,81.85,1581.26,47.74,112.08,451.83,835.37,30.01,3643.49,17716.91,0.0728,Medium
OT-02891,OrionTech,2025-03-14,3,Mar,Q1,2025,Marketing,Europe,Banking Solutions,Transformation,Enterprise,5,66.02,22651.82,12320.1,10331.72,4.8,0.3,21.5,2.2,0.4,3,1,30,53.5,80.5,83.3,76.5,427.81,23.77,1277.49,217.87,22.45,789.54,988.39,506.54,4253.86,6077.86,0.1878,High
OT-02663,OrionTech,2025-03-14,3,Mar,Q1,2025,Marketing,Spain,Corporate Services,Client Delivery,Mid-Market,27,52.63,12432.62,6365.3,6067.32,3.3,3.4,11.5,2.1,2.5,2,1,51,60.5,91.0,73.8,86.0,234.47,214.73,2941.49,165.78,111.84,659.27,570.74,583.13,5481.45,585.87,0.4409,High
OT-01677,OrionTech,2025-03-14,3,Mar,Q1,2025,Sales,North America,Digital Services,Client Delivery,Mid-Market,61,57.56,53195.19,42917.8,10277.39,6.2,0.5,24.6,1.2,1.6,4,2,23,67.2,85.2,64.5,68.6,481.78,34.54,15547.42,103.61,78.28,1439.64,1605.41,238.83,19529.51,-9252.12,0.3671,High
OT-02008,OrionTech,2025-03-15,3,Mar,Q1,2025,Legal & Compliance,Spain,Telecom Platforms,Transformation,Strategic Accounts,18,48.29,26195.2,14881.84,11313.36,5.4,3.4,8.8,3.7,1.6,1,1,10,71.5,73.1,87.1,71.2,352.03,197.02,1376.84,268.01,65.67,1022.3,805.86,75.69,4163.42,7149.94,0.1589,Medium
OT-04348,OrionTech,2025-03-15,3,Mar,Q1,2025,IT,North America,Banking Solutions,Transformation,Mid-Market,67,51.67,73292.85,64170.0,9122.85,13.0,0.9,3.7,17.0,1.1,1,3,43,55.2,72.5,73.1,65.4,906.81,55.8,2305.62,1317.58,48.31,443.26,1750.88,547.45,7375.71,1747.14,0.1006,Medium
OT-00357,OrionTech,2025-03-15,3,Mar,Q1,2025,Customer Support,Spain,Corporate Services,Support,Strategic Accounts,22,43.2,23197.44,14239.41,8958.03,11.4,2.8,15.2,3.0,2.5,3,4,24,80.6,57.9,69.7,70.5,664.85,145.15,2600.29,194.4,91.8,1291.37,3737.58,110.63,8836.07,121.96,0.3809,High
OT-04766,OrionTech,2025-03-15,3,Mar,Q1,2025,Operations,Spain,Cybersecurity,Client Delivery,Public Sector,66,49.87,48190.95,32846.11,15344.84,1.5,3.2,6.1,3.9,4.1,2,2,13,65.4,74.8,84.0,72.4,100.99,191.5,3613.98,291.74,173.8,791.3,1089.92,123.37,6376.6,8968.24,0.1323,Medium
OT-00273,OrionTech,2025-03-15,3,Mar,Q1,2025,Customer Support,APAC,Cybersecurity,Client Delivery,Strategic Accounts,32,46.15,33061.22,21456.05,11605.17,1.7,8.8,5.7,12.9,0.6,2,2,53,56.5,79.0,59.5,70.1,105.91,487.34,1515.2,893.0,23.54,677.65,867.8,585.19,5155.63,6449.54,0.1559,Medium
OT-02639,OrionTech,2025-03-15,3,Mar,Q1,2025,Operations,North America,Corporate Services,Internal Operations,SME,47,59.09,35841.53,28780.79,7060.74,6.8,4.8,12.3,2.2,4.4,4,0,35,66.1,79.3,69.3,65.7,542.45,340.36,6148.79,195.0,221.0,1690.89,0.0,385.61,9524.1,-2463.36,0.2657,High
OT-03980,OrionTech,2025-03-15,3,Mar,Q1,2025,Sales,Spain,Banking Solutions,Client Delivery,Public Sector,41,59.52,35670.63,24753.77,10916.86,3.6,2.6,14.9,0.7,2.2,2,3,2,70.9,85.8,70.3,64.2,289.27,185.7,6544.94,62.5,111.3,687.59,2249.94,19.05,10150.29,766.57,0.2846,High
OT-01481,OrionTech,2025-03-15,3,Mar,Q1,2025,Operations,Europe,Corporate Services,Support,Enterprise,43,73.45,28709.74,19170.01,9539.73,4.1,7.5,5.5,18.4,3.5,7,5,30,68.0,57.9,69.1,57.9,406.55,661.05,3126.77,2027.22,218.51,2735.22,3837.73,387.82,13400.87,-3861.14,0.4668,High
OT-00182,OrionTech,2025-03-15,3,Mar,Q1,2025,Controlling,Europe,Corporate Services,Client Delivery,Mid-Market,16,42.46,12617.88,5482.7,7135.18,0.9,4.2,8.5,2.7,5.2,1,0,35,56.6,91.8,85.6,80.8,51.59,214.0,1039.42,171.96,187.67,366.79,0.0,354.73,2386.16,4749.02,0.1891,High
OT-04113,OrionTech,2025-03-15,3,Mar,Q1,2025,IT,Spain,Telecom Platforms,Commercial Growth,SME,17,40.03,27945.65,19693.96,8251.69,9.8,4.6,14.5,0.8,2.6,3,4,44,71.0,71.0,69.8,76.6,529.6,220.97,1776.13,48.04,88.47,1460.7,3343.53,280.93,7748.37,503.32,0.2773,High
OT-04211,OrionTech,2025-03-15,3,Mar,Q1,2025,Finance,LATAM,Telecom Platforms,Commercial Growth,Mid-Market,13,31.3,14473.27,9148.65,5324.62,5.3,5.2,12.8,4.4,1.0,2,3,22,62.6,68.0,78.8,86.6,223.95,195.31,937.5,206.58,26.61,1440.43,1825.04,141.65,4997.07,327.55,0.3453,High
OT-01104,OrionTech,2025-03-15,3,Mar,Q1,2025,IT,Spain,Digital Services,Client Delivery,Enterprise,6,39.38,25184.59,16731.94,8452.65,4.5,1.5,9.6,23.3,0.1,3,0,40,66.8,89.8,52.8,86.2,239.23,70.88,408.29,1376.33,3.35,1458.19,0.0,287.63,3843.9,4608.75,0.1526,Medium
OT-02013,OrionTech,2025-03-16,3,Mar,Q1,2025,Finance,Europe,Telecom Platforms,Support,Mid-Market,35,50.83,24061.34,15601.05,8460.29,3.6,2.5,7.9,4.5,7.3,5,0,34,75.3,83.4,76.6,70.6,247.03,152.49,2529.81,343.1,315.4,3773.24,0.0,234.78,7595.85,864.44,0.3157,High
OT-03568,OrionTech,2025-03-16,3,Mar,Q1,2025,Legal & Compliance,Spain,Cybersecurity,Client Delivery,Enterprise,18,29.57,25303.18,11088.54,14214.64,4.2,2.3,17.2,5.7,0.2,1,2,8,33.9,81.1,92.1,88.8,167.66,81.61,1647.88,252.82,5.03,1146.28,1872.39,86.0,5259.67,8954.97,0.2079,High
OT-00536,OrionTech,2025-03-16,3,Mar,Q1,2025,Finance,Spain,Telecom Platforms,Client Delivery,SME,51,54.07,25325.44,17028.13,8297.31,2.2,0.9,10.0,9.7,2.0,2,0,17,49.3,87.3,65.9,72.2,160.59,58.4,4963.63,786.72,91.92,1133.62,0.0,256.32,7451.2,846.11,0.2942,High
OT-02222,OrionTech,2025-03-16,3,Mar,Q1,2025,Sales,North America,Cybersecurity,Support,Enterprise,35,64.85,34508.69,18547.32,15961.37,5.5,4.0,15.3,7.3,1.9,0,1,30,56.9,81.6,72.9,79.2,481.51,311.28,6250.89,710.11,104.73,0.0,372.77,461.18,8692.47,7268.9,0.2519,High
OT-03928,OrionTech,2025-03-16,3,Mar,Q1,2025,Customer Support,LATAM,Banking Solutions,Client Delivery,Public Sector,22,30.86,22362.48,14423.06,7939.42,1.0,4.0,6.1,2.2,4.2,4,2,27,47.4,59.6,70.0,64.8,41.66,148.13,745.45,101.84,110.17,1343.33,713.51,241.05,3445.14,4494.28,0.1541,High
OT-04018,OrionTech,2025-03-16,3,Mar,Q1,2025,Legal & Compliance,LATAM,Digital Services,Transformation,Enterprise,19,27.35,18121.07,10590.45,7530.62,5.6,1.9,14.4,0.1,6.5,1,2,31,78.5,83.3,73.7,81.3,206.77,62.36,1346.93,4.1,151.11,1174.97,851.39,100.26,3897.89,3632.73,0.2151,High
OT-01046,OrionTech,2025-03-16,3,Mar,Q1,2025,Marketing,APAC,Telecom Platforms,Commercial Growth,Enterprise,26,38.04,20513.64,10393.63,10120.01,2.2,5.1,12.9,2.6,6.4,4,2,27,43.8,82.7,64.9,76.0,112.98,232.8,2296.55,148.36,206.94,1467.28,1799.07,317.47,6581.45,3538.56,0.3208,High
OT-03038,OrionTech,2025-03-16,3,Mar,Q1,2025,Customer Support,Spain,Cloud & Data,Transformation,Mid-Market,12,50.04,15605.13,8466.83,7138.3,7.9,5.1,8.2,13.6,4.6,2,0,34,44.4,52.1,59.4,73.8,533.68,306.24,886.31,1020.82,195.66,816.44,0.0,520.28,4279.43,2858.87,0.2742,High
OT-01537,OrionTech,2025-03-16,3,Mar,Q1,2025,Sales,APAC,Banking Solutions,Transformation,Enterprise,47,33.2,35358.05,18673.69,16684.36,5.4,4.4,14.7,0.8,0.5,1,1,24,41.3,80.0,68.5,72.0,242.03,175.3,4128.82,39.84,14.11,273.57,868.29,257.25,5999.21,10685.15,0.1697,Medium
OT-01970,OrionTech,2025-03-16,3,Mar,Q1,2025,Sales,Spain,Cloud & Data,Client Delivery,Enterprise,52,24.0,42003.59,23384.42,18619.17,5.8,7.2,21.5,1.7,6.7,2,1,16,51.5,67.0,62.9,83.6,187.92,207.36,4829.76,61.2,136.68,706.02,987.75,102.43,7219.12,11400.05,0.1719,Medium
OT-03686,OrionTech,2025-03-16,3,Mar,Q1,2025,IT,APAC,Banking Solutions,Transformation,Mid-Market,43,41.19,14106.02,10476.36,3629.66,6.4,2.4,7.0,10.4,3.2,4,4,34,30.2,72.7,67.2,74.3,355.88,118.63,2231.67,642.56,112.04,1903.57,1307.7,537.64,7209.69,-3580.03,0.5111,High
OT-04849,OrionTech,2025-03-16,3,Mar,Q1,2025,HR,LATAM,Cybersecurity,Internal Operations,Strategic Accounts,28,49.18,11301.4,4079.95,7221.45,6.9,5.5,3.3,3.2,10.4,4,1,5,65.1,86.0,73.0,69.6,458.11,324.59,817.96,236.06,434.75,1251.79,885.6,47.2,4456.06,2765.39,0.3943,High
OT-01229,OrionTech,2025-03-16,3,Mar,Q1,2025,Controlling,North America,Banking Solutions,Support,Enterprise,44,58.77,17968.29,8159.77,9808.52,1.5,6.2,9.7,5.9,0.2,0,1,23,55.4,80.8,81.2,85.3,119.01,437.25,4514.95,520.11,9.99,0.0,503.31,331.57,6436.19,3372.33,0.3582,High
OT-00058,OrionTech,2025-03-16,3,Mar,Q1,2025,Legal & Compliance,Spain,Digital Services,Support,Strategic Accounts,32,65.1,21692.29,14147.4,7544.89,7.2,1.9,10.3,6.4,0.1,1,1,29,60.4,83.7,71.2,72.0,632.77,148.43,3862.25,624.96,5.53,1037.3,375.76,411.18,7098.18,446.71,0.3272,High
OT-00390,OrionTech,2025-03-16,3,Mar,Q1,2025,Legal & Compliance,APAC,Telecom Platforms,Commercial Growth,Enterprise,31,57.31,14921.03,8893.52,6027.51,3.6,1.4,15.0,1.7,1.1,2,0,17,40.0,84.2,77.8,73.4,278.53,96.28,4796.85,146.14,53.58,1888.3,0.0,321.51,7581.19,-1553.68,0.5081,High
OT-00961,OrionTech,2025-03-16,3,Mar,Q1,2025,Customer Support,Spain,Cloud & Data,Compliance,Public Sector,30,55.48,26210.67,17271.95,8938.72,12.1,7.7,11.6,11.7,2.9,2,4,21,39.0,61.9,72.0,60.7,906.27,512.64,3475.27,973.67,136.76,899.3,2870.62,390.88,10165.41,-1226.69,0.3878,High
OT-03701,OrionTech,2025-03-16,3,Mar,Q1,2025,HR,Europe,Cybersecurity,Transformation,Strategic Accounts,54,58.43,13307.49,6816.18,6491.31,6.6,6.4,15.7,2.2,3.7,1,3,31,44.6,78.4,66.8,83.1,520.61,448.74,8916.65,192.82,183.76,320.02,990.48,551.91,12124.99,-5633.68,0.9111,High
OT-02886,OrionTech,2025-03-16,3,Mar,Q1,2025,Marketing,Spain,Corporate Services,Transformation,Mid-Market,52,44.31,38275.46,29299.04,8976.42,16.2,1.4,14.3,8.2,5.1,2,1,30,45.6,86.2,63.4,75.9,969.06,74.44,5930.8,545.01,192.08,543.15,571.34,397.73,9223.61,-247.19,0.241,High
OT-02308,OrionTech,2025-03-16,3,Mar,Q1,2025,Legal & Compliance,Europe,Telecom Platforms,Client Delivery,SME,5,53.29,18518.5,10328.95,8189.55,5.1,5.3,12.1,2.4,4.2,2,2,28,61.9,74.4,70.8,74.6,366.9,338.92,580.33,191.84,190.25,1776.09,1084.05,312.67,4841.05,3348.5,0.2614,High
OT-03253,OrionTech,2025-03-17,3,Mar,Q1,2025,HR,Europe,Cloud & Data,Commercial Growth,Mid-Market,24,36.06,14024.52,7047.74,6976.78,4.7,1.3,8.0,3.7,1.0,2,0,22,75.6,85.4,66.8,78.5,228.8,56.25,1246.23,200.13,30.65,692.78,0.0,106.46,2561.3,4415.48,0.1826,High
OT-01406,OrionTech,2025-03-17,3,Mar,Q1,2025,Marketing,Spain,Cybersecurity,Client Delivery,Public Sector,80,44.17,27111.06,19818.99,7292.07,1.1,3.2,25.6,8.1,6.4,3,1,23,37.8,87.0,79.0,71.6,65.59,169.61,16282.83,536.67,240.28,1034.34,628.51,347.54,19305.37,-12013.3,0.7121,High
OT-04663,OrionTech,2025-03-17,3,Mar,Q1,2025,Legal & Compliance,Europe,Telecom Platforms,Commercial Growth,Mid-Market,16,44.89,31484.1,14705.15,16778.95,4.9,4.1,11.8,5.6,0.5,2,4,37,74.0,83.8,75.5,67.7,296.95,220.86,1525.54,377.08,19.08,2211.39,1521.57,237.51,6409.98,10368.97,0.2036,High
OT-02792,OrionTech,2025-03-17,3,Mar,Q1,2025,Sales,Spain,Cybersecurity,Compliance,Enterprise,31,36.24,53534.41,35321.71,18212.7,5.8,4.9,17.6,1.0,1.2,1,2,37,42.9,85.0,68.8,80.0,283.76,213.09,3559.06,54.36,36.96,305.45,870.42,421.1,5744.2,12468.5,0.1073,Medium
OT-04557,OrionTech,2025-03-17,3,Mar,Q1,2025,Customer Support,APAC,Telecom Platforms,Support,Public Sector,37,48.45,20174.14,13617.6,6556.54,6.3,10.2,8.8,0.8,0.7,5,4,37,63.4,89.0,65.4,64.2,412.07,593.03,2839.56,58.14,28.83,2216.67,1821.64,360.86,8330.8,-1774.26,0.4129,High
OT-02249,OrionTech,2025-03-17,3,Mar,Q1,2025,Marketing,Spain,Banking Solutions,Support,Enterprise,22,44.13,28557.66,18709.59,9848.07,4.3,9.1,5.5,3.1,3.0,1,0,29,44.8,83.5,80.3,67.7,256.17,481.9,961.15,205.2,112.53,303.8,0.0,388.54,2709.29,7138.78,0.0949,Medium
OT-03808,OrionTech,2025-03-17,3,Mar,Q1,2025,HR,APAC,Cybersecurity,Internal Operations,Strategic Accounts,59,34.91,15784.73,6111.71,9673.02,0.8,2.7,6.9,4.3,1.0,0,0,14,62.8,76.5,77.1,81.5,37.7,113.11,2558.13,225.17,29.67,0.0,0.0,100.0,3063.78,6609.24,0.1941,High
OT-03707,OrionTech,2025-03-17,3,Mar,Q1,2025,Operations,Spain,Corporate Services,Internal Operations,Strategic Accounts,25,45.98,23305.58,12341.94,10963.64,4.9,5.0,14.4,10.7,7.5,5,3,37,46.1,67.1,62.8,71.4,304.16,275.88,2979.5,737.98,293.12,2688.23,1151.47,504.34,8934.68,2028.96,0.3834,High
OT-00847,OrionTech,2025-03-17,3,Mar,Q1,2025,HR,Spain,Corporate Services,Transformation,Enterprise,26,53.22,27136.99,12238.68,14898.31,0.4,1.0,9.9,2.8,4.4,2,0,41,48.5,73.4,73.2,76.1,28.74,63.86,2465.79,223.52,199.04,672.12,0.0,618.06,4271.13,10627.18,0.1574,Medium
OT-01655,OrionTech,2025-03-17,3,Mar,Q1,2025,Sales,Spain,Banking Solutions,Commercial Growth,Strategic Accounts,31,48.87,23560.24,15680.08,7880.16,3.2,4.3,13.8,2.8,1.9,1,0,47,44.2,71.5,78.6,70.3,211.12,252.17,3763.19,205.25,78.93,373.42,0.0,704.92,5589.0,2291.16,0.2372,High
OT-00884,OrionTech,2025-03-17,3,Mar,Q1,2025,Operations,North America,Cloud & Data,Support,Enterprise,7,58.05,40970.59,22256.18,18714.41,6.6,10.1,10.0,12.1,9.7,2,2,35,55.0,62.3,64.4,66.0,517.23,703.57,731.43,1053.61,478.62,1045.31,2009.65,502.86,7042.28,11672.13,0.1719,Medium
OT-03603,OrionTech,2025-03-17,3,Mar,Q1,2025,Operations,LATAM,Cybersecurity,Client Delivery,Enterprise,17,45.02,26933.41,16776.63,10156.78,6.9,5.9,2.6,2.4,4.0,3,5,28,52.1,74.1,62.1,73.7,419.36,318.74,358.18,162.07,153.07,1197.45,3357.79,332.09,6298.75,3858.03,0.2339,High
OT-04418,OrionTech,2025-03-17,3,Mar,Q1,2025,Sales,North America,Banking Solutions,Commercial Growth,Enterprise,40,47.22,45450.25,38266.26,7183.99,2.4,8.8,14.0,6.5,2.4,2,1,24,70.9,81.1,62.7,59.4,152.99,498.64,4759.78,460.4,96.33,622.44,694.45,181.38,7466.41,-282.42,0.1643,Medium
OT-00533,OrionTech,2025-03-17,3,Mar,Q1,2025,Operations,North America,Digital Services,Commercial Growth,Enterprise,42,48.84,53725.56,36783.92,16941.64,9.2,1.6,10.4,2.8,2.9,0,3,21,61.2,77.2,65.7,71.1,606.59,93.77,3840.0,205.13,120.39,0.0,3120.88,218.87,8205.63,8736.01,0.1527,Medium
OT-03403,OrionTech,2025-03-18,3,Mar,Q1,2025,Customer Support,Spain,Digital Services,Transformation,Mid-Market,45,41.56,14970.78,9089.13,5881.65,5.6,4.8,11.9,7.7,8.2,2,3,31,29.8,70.9,61.5,67.4,314.19,239.39,4005.97,480.02,289.67,914.73,1898.53,497.44,8639.94,-2758.29,0.5771,High
OT-02427,OrionTech,2025-03-18,3,Mar,Q1,2025,Sales,Europe,Telecom Platforms,Internal Operations,Enterprise,32,56.11,20039.31,15778.36,4260.95,8.3,4.2,15.8,11.0,0.7,2,0,40,75.3,77.5,67.9,64.1,628.71,282.79,5106.46,925.82,33.39,587.74,0.0,304.9,7869.81,-3608.86,0.3927,High
OT-00750,OrionTech,2025-03-18,3,Mar,Q1,2025,Operations,Europe,Telecom Platforms,Internal Operations,Mid-Market,31,59.65,40944.82,31578.53,9366.29,5.6,1.6,10.0,0.7,0.3,3,2,49,46.5,72.3,65.9,75.6,450.95,114.53,3328.47,62.63,15.21,1184.58,974.53,860.05,6990.95,2375.34,0.1707,Medium
OT-02868,OrionTech,2025-03-18,3,Mar,Q1,2025,Finance,North America,Cybersecurity,Transformation,Public Sector,17,65.56,17314.79,11858.51,5456.28,6.4,6.4,9.0,3.9,2.7,2,0,37,61.3,81.4,87.9,80.8,566.44,503.5,1805.52,383.53,150.46,1157.58,0.0,516.31,5083.34,372.94,0.2936,High
OT-00937,OrionTech,2025-03-18,3,Mar,Q1,2025,Controlling,LATAM,Banking Solutions,Commercial Growth,Strategic Accounts,52,36.93,14937.0,7103.48,7833.52,0.6,6.3,13.1,5.0,2.1,0,1,30,69.3,86.1,83.6,98.8,29.91,279.19,4528.21,276.98,65.92,0.0,858.33,187.07,6225.61,1607.91,0.4168,High
OT-01947,OrionTech,2025-03-18,3,Mar,Q1,2025,Operations,Spain,Banking Solutions,Support,Mid-Market,60,68.48,38946.68,28464.71,10481.97,10.1,1.3,9.9,2.0,0.4,3,5,28,44.9,75.5,80.1,63.8,933.72,106.83,7321.88,205.44,23.28,1325.53,3736.26,581.08,14234.02,-3752.05,0.3655,High
OT-01695,OrionTech,2025-03-19,3,Mar,Q1,2025,Operations,LATAM,Cybersecurity,Transformation,Mid-Market,38,27.46,37561.27,30233.33,7327.94,2.1,0.6,12.7,7.6,8.5,2,1,37,62.8,65.3,68.0,70.9,77.85,19.77,2385.4,313.04,198.4,1067.12,254.54,207.88,4524.0,2803.94,0.1204,Medium
OT-03327,OrionTech,2025-03-19,3,Mar,Q1,2025,IT,Europe,Cloud & Data,Client Delivery,SME,20,41.48,47676.28,43794.15,3882.13,0.6,6.8,12.0,2.1,0.7,5,2,41,49.4,80.2,72.4,72.1,33.6,338.48,1791.94,130.66,24.68,2571.61,1042.1,473.3,6406.37,-2524.24,0.1344,Medium
OT-01854,OrionTech,2025-03-19,3,Mar,Q1,2025,Customer Support,APAC,Telecom Platforms,Internal Operations,Strategic Accounts,32,36.06,23346.78,17291.04,6055.74,3.0,9.5,3.4,1.9,2.1,6,0,29,24.1,76.1,64.9,59.8,146.04,411.08,706.2,102.77,64.37,2848.68,0.0,436.54,4715.68,1340.06,0.202,High
OT-00083,OrionTech,2025-03-19,3,Mar,Q1,2025,Legal & Compliance,LATAM,Digital Services,Client Delivery,Mid-Market,36,32.13,8911.99,6253.55,2658.44,10.0,4.9,17.8,7.9,7.1,1,1,37,41.7,83.5,69.6,74.4,433.76,188.92,3706.0,380.74,193.9,1002.42,624.15,381.19,6911.08,-4252.64,0.7755,High
OT-03351,OrionTech,2025-03-19,3,Mar,Q1,2025,Sales,Spain,Corporate Services,Client Delivery,Public Sector,53,48.87,42423.09,32085.21,10337.88,4.6,2.3,13.1,14.9,1.3,1,1,25,52.6,81.5,52.3,78.8,303.48,134.88,6107.48,1092.24,54.0,270.74,319.19,318.51,8600.52,1737.36,0.2027,High
OT-02660,OrionTech,2025-03-19,3,Mar,Q1,2025,Finance,APAC,Telecom Platforms,Client Delivery,Mid-Market,48,45.97,14906.81,9303.6,5603.21,2.8,2.6,11.8,1.9,1.3,2,1,20,56.3,88.0,86.9,65.9,173.77,143.43,4686.73,131.01,50.8,1170.82,747.76,220.98,7325.3,-1722.09,0.4914,High
OT-04957,OrionTech,2025-03-19,3,Mar,Q1,2025,IT,Europe,Cybersecurity,Client Delivery,SME,36,51.55,39308.34,35208.86,4099.48,14.3,1.6,9.8,6.8,3.0,9,2,20,49.0,92.1,61.3,69.0,995.17,98.98,3273.63,525.81,131.45,4283.77,619.23,289.2,10217.24,-6117.76,0.2599,High
OT-03163,OrionTech,2025-03-19,3,Mar,Q1,2025,Controlling,North America,Cloud & Data,Transformation,Public Sector,36,40.24,36585.91,18520.39,18065.52,3.3,3.0,4.2,3.9,4.7,2,0,13,89.6,86.1,83.0,81.3,179.27,144.86,1095.17,235.4,160.76,663.7,0.0,29.92,2509.08,15556.44,0.0686,Low
OT-04884,OrionTech,2025-03-19,3,Mar,Q1,2025,Customer Support,North America,Digital Services,Internal Operations,Public Sector,5,52.72,25841.39,19001.8,6839.59,3.6,3.4,15.9,15.0,2.6,3,5,19,58.6,74.4,62.8,73.5,256.22,215.1,754.42,1186.2,116.51,1196.03,2802.52,228.08,6755.08,84.51,0.2614,High
OT-03365,OrionTech,2025-03-20,3,Mar,Q1,2025,Operations,Spain,Cybersecurity,Internal Operations,Strategic Accounts,20,40.17,43564.32,33322.53,10241.79,9.7,3.8,8.8,3.3,2.9,0,1,56,41.6,80.7,77.8,69.0,526.03,183.18,1272.59,198.84,99.02,0.0,535.59,722.55,3537.8,6703.99,0.0812,Medium
OT-02433,OrionTech,2025-03-20,3,Mar,Q1,2025,Sales,Spain,Corporate Services,Commercial Growth,Strategic Accounts,29,55.76,28876.64,19147.52,9729.12,6.6,2.7,23.8,6.4,3.2,1,2,25,21.0,83.5,82.6,66.0,496.82,180.66,6927.4,535.3,151.67,309.19,752.07,605.69,9958.8,-229.68,0.3449,High
OT-02095,OrionTech,2025-03-20,3,Mar,Q1,2025,Controlling,LATAM,Corporate Services,Transformation,SME,45,33.76,20872.0,11168.18,9703.82,5.8,5.7,3.1,3.7,0.4,0,0,17,52.8,88.3,79.7,98.9,264.34,230.92,847.71,187.37,11.48,0.0,0.0,148.99,1690.81,8013.01,0.081,Low
OT-01556,OrionTech,2025-03-20,3,Mar,Q1,2025,HR,Spain,Banking Solutions,Transformation,Public Sector,25,52.91,6067.78,2752.46,3315.32,2.5,5.8,11.6,1.7,2.8,2,2,52,61.5,79.0,72.3,76.4,178.57,368.25,2761.9,134.92,125.93,519.87,1227.64,582.59,5899.67,-2584.35,0.9723,High
OT-00287,OrionTech,2025-03-20,3,Mar,Q1,2025,Sales,North America,Cybersecurity,Client Delivery,Enterprise,12,53.09,34876.42,20438.25,14438.17,9.5,10.3,21.2,1.3,0.6,1,1,19,44.5,98.3,78.0,73.3,680.88,656.19,2431.1,103.53,27.08,304.8,392.19,307.91,4903.68,9534.49,0.1406,Medium
OT-01778,OrionTech,2025-03-20,3,Mar,Q1,2025,Customer Support,Spain,Banking Solutions,Transformation,Strategic Accounts,25,52.29,19575.02,12523.93,7051.09,7.6,5.1,5.2,6.7,5.4,4,2,40,29.2,66.7,68.8,69.4,536.5,320.01,1223.59,525.51,240.01,1757.17,1412.95,814.47,6830.21,220.88,0.3489,High
OT-01908,OrionTech,2025-03-20,3,Mar,Q1,2025,HR,Europe,Corporate Services,Support,Enterprise,57,60.45,33643.74,19040.28,14603.46,1.7,3.6,9.8,1.3,1.9,1,1,20,67.5,65.8,70.7,79.6,138.73,261.14,6078.13,117.88,97.63,322.22,1014.61,216.11,8246.45,6357.01,0.2451,High
OT-02369,OrionTech,2025-03-20,3,Mar,Q1,2025,Sales,APAC,Telecom Platforms,Client Delivery,Strategic Accounts,45,32.15,24468.96,15659.08,8809.88,1.4,1.1,21.0,2.8,1.3,2,0,27,68.4,75.9,73.6,81.4,60.76,42.44,5468.72,135.03,35.53,643.5,0.0,150.87,6536.85,2273.03,0.2671,High
OT-02933,OrionTech,2025-03-20,3,Mar,Q1,2025,Sales,Europe,Digital Services,Compliance,Enterprise,58,43.15,28736.92,16498.94,12237.98,2.2,5.8,15.4,2.7,1.0,3,3,28,69.7,80.6,70.9,64.1,128.16,300.32,6937.48,174.76,36.68,973.16,1437.43,201.35,10189.34,2048.64,0.3546,High
OT-04220,OrionTech,2025-03-20,3,Mar,Q1,2025,Finance,LATAM,Telecom Platforms,Client Delivery,Enterprise,19,29.9,12701.34,5803.92,6897.42,6.2,4.0,11.1,11.0,4.3,3,0,30,78.9,76.3,83.2,90.6,250.26,143.52,1135.06,493.35,109.28,1617.4,0.0,104.1,3852.97,3044.45,0.3034,High
OT-01487,OrionTech,2025-03-20,3,Mar,Q1,2025,Finance,LATAM,Banking Solutions,Transformation,Mid-Market,8,52.76,34782.29,21604.28,13178.01,10.6,2.3,14.7,9.8,1.6,3,2,28,71.4,75.5,62.1,73.9,755.0,145.62,1116.82,775.57,71.75,1905.31,1556.13,232.38,6558.58,6619.43,0.1886,High
